DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,INDICATOR: Indicator,RANGE: Range,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_POP_COAST(2.0),A: Annual,2010,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2011,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2012,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2013,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2014,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2015,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2016,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2017,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2018,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2019,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2020,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2021,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2010,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2011,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2012,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2013,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2014,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2015,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
